cusine,name,voteCount,rating,address,cusine,cost,timing
"Chinese, North Indian, Seafood, Mughlai",Hunger Buddy,Cuisines:,NEW,Delivery Only,"Chinese, North Indian, Seafood, Mughlai",₹250,11am – 11pm (Mon-Sun)
Mishti,Eat Me,15 votes,3.5,Delivery Only,Mishti,₹450,12noon – 12midnight (Mon-Sun)
Mishti,New Sundary Fast Food Centre,Cuisines:,-,"65, Mandirtala, Shibpur, Howrah",Mishti,₹200,11am – 9pm (Mon-Sun)
"Chinese, Mughlai",Pooja Snacks,11 votes,3.0,"53, Vivekananda Road, Girish Park, Kolkata","Chinese, Mughlai",₹250,11am – 10pm (Mon-Sun)
"Chinese, Mughlai",Pyaris Bakery,9 votes,2.9,"83, Mandirtala, Shibpur, Howrah","Chinese, Mughlai",₹400,10am – 10pm (Mon-Sun)
Chinese,Calcutta Calling,167 votes,3.6,"122, Rajdanga, Goldpark, Kasba, Kolkata",Chinese,₹700,12:30pm – 11pm (Mon-Sun)
Chinese,Banglar Rannaghar,599 votes,2.7,"4/15, Fern Road, Gariahat, Kolkata",Chinese,₹300,7am – 12midnight (Mon-Sun)
"Chinese, Fast Food",Ekanto Apon Fast Food Centre,32 votes,2.9,"82, Bidhan Sarani, Hatibagan, Kolkata","Chinese, Fast Food",₹150,9am – 10pm (Mon-Sun)
"Chinese, Fast Food",Royal Fast Food Taste,31 votes,3.6,"360A, Banerjee Para Road, Karunamayee, Tollygunge, Kolkata","Chinese, Fast Food",₹350,1pm – 11pm (Mon-Sun)
Mishti,Codfather,1107 votes,3.7,"P137, Lake Terrace, Desapriya Park, Kolkata",Mishti,"₹1,400",12noon – 11pm (Mon-Sun)
Mishti,Ashraf Biryani Centre,196 votes,3.5,"14, Kustia Road, Topsia, Kolkata",Mishti,₹250,12noon – 10pm (Mon-Sun)
Chinese,Vanakkam,112 votes,3.7,"244A, Vivekananda Road, Maniktala, Kolkata",Chinese,₹300,10:30am – 10pm (Mon-Sun)
Chinese,Kashi Fast Food,185 votes,3.7,"16, Kalakar Street, Bara Bazar, Kolkata",Chinese,₹200,11:30am – 12midnight (Mon-Sun)
"Rolls, North Indian, Mughlai",Annu's Cuisine,28 votes,3.4,"300, N S Road, Shibpur, Howrah","Rolls, North Indian, Mughlai",₹300,11am – 11pm (Mon-Sun)
"Rolls, North Indian, Mughlai",RosoighoReR Rohosyo,Cuisines:,NEW,Delivery Only,"Rolls, North Indian, Mughlai",₹300,9am – 11pm (Mon-Sun)
Momos,Swader Raja,Cuisines:,NEW,"128, Jodhpur Park, Kolkata",Momos,₹300,8am – 11pm (Mon-Sun)
Momos,Smokee Fusion,Cuisines:,-,"27-A, CA Block, Duttabad Road, Sector 3, Salt Lake, Kolkata",Momos,₹300,5pm – 2am (Mon-Sun)
"Cafe, Chinese, Italian, Fast Food, Beverages",Fill Belly,Cuisines:,,"87/2, P. Majumdar Road, Near Siemens Office, Kasba, Kolkata","Cafe, Chinese, Italian, Fast Food, Beverages",₹100,
"Cafe, Chinese, Italian, Fast Food, Beverages",Sandhya Sweets,Cuisines:,-,"1, Topsia Road South, Topsia, Kolkata","Cafe, Chinese, Italian, Fast Food, Beverages",₹100,8am – 10pm (Mon-Sun)
"American, Burger, Continental, Pizza",Rohanika Fast Food Center,Cuisines:,-,"217, Tiljala Road, Topsia, Kolkata","American, Burger, Continental, Pizza",₹300,6:30am – 11pm (Mon-Sun)
"American, Burger, Continental, Pizza",Mera Khana,Cuisines:,-,"29/C, DR Ambedkar Sarani, Near Mercedez Benz Showroom, Topsia, Kolkata","American, Burger, Continental, Pizza",₹150,11am – 9pm (Mon-Sun)
Mughlai,Mukharuchi Topsia,Cuisines:,-,"Seal Lane, Topsia, Kolkata",Mughlai,₹350,9am – 9:30pm (Mon-Sun)
Mughlai,Online Dhaba,Cuisines:,-,"35/3G, 2nd Floor, Near Sapgachi Auto Stand, Topsia Road, Topsia, Kolkata",Mughlai,₹300,12noon – 12midnight (Mon-Sun)
Kashmiri,Gouri,Cuisines:,-,"3/1D, Chowbaga Road, Topsia, Kolkata",Kashmiri,₹250,11am – 11pm (Mon-Sun)
Kashmiri,Maa Durga Hotel,Cuisines:,-,"45/5, Diamond Harbour Road, Mominpore, Kidderpore, Kolkata",Kashmiri,₹300,10am – 9pm (Mon-Sun)
Biryani,Yammy Biryani,Cuisines:,-,"54, Topsia Road, Topsia, Kolkata",Biryani,₹200,11am – 10:30pm (Mon-Sun)
Biryani,AR Kitchen,Cuisines:,-,"2/8, Rajdanga Main road, Kasba, Kolkata",Biryani,₹250,7am – 1am (Mon-Sun)
"Bakery, Desserts",Mama's Recipe,Cuisines:,-,"58A, Peary Mohan Roy Road, Alipore, Kolkata","Bakery, Desserts",₹200,4pm – 9:30pm (Mon-Sun)
"Bakery, Desserts",Nato Club,Cuisines:,-,"27, Baker Mahal Road, Near District Civil And Sessions Court, Alipore, Kolkata","Bakery, Desserts","₹1,000","9am – 11pm (Mon-Fri),24 Hours (Sat-Sun)"
"South Indian, Beverages",Choco Wonder,Cuisines:,-,"33, Rai Charan Ghosh Lane, Near Topsia Kohinoor Market, Topsia, Kolkata","South Indian, Beverages",₹200,6pm – 11pm (Mon-Sun)
"South Indian, Beverages",Addakhana,47 votes,3.9,"Ranikuthi Water Complex, Ranikuthi, Tollygunge, Kolkata","South Indian, Beverages",₹300,"11am – 10:30pm (Mon-Wed),5pm – 1am (Thu-Sun)"
Chinese,The Everest Momo,24 votes,3.5,"78/1, NSC Bose Road, Tollygunge, Kolkata",Chinese,₹200,12:02pm – 11pm (Mon-Sun)
Chinese,Cafe JVN,38 votes,3.8,"Shop 7G, 69/1, Mitra Colony, Opposite M P Birla School, Behala, Kolkata",Chinese,₹550,"8am – 9pm (Mon, Tue, Wed, Thu, Fri, Sun), 11am –..."
Chinese,Biryani House,12 votes,3.1,"1/2, Poddar Nagar Park, Ajoy Nagar, Kolkata",Chinese,₹200,"12:01am – 3am, 10am – 12midnight (Mon-Sun)"
Chinese,Wok To China,11 votes,2.8,"197, Jodhpur Park, Kolkata",Chinese,₹200,9am – 1am (Mon-Sun)
Mishti,New Biryaniwala,17 votes,3.0,"2/24, Poddar Nagar, Near South City Mall, Prince Anwar Shah Road, Kolkata",Mishti,₹350,12noon – 4am (Mon-Sun)
Mishti,Chai Addaa,206 votes,3.8,"3/53, Bijoygarh, Golf Green, Kolkata",Mishti,₹400,10:30am – 12midnight (Mon-Sun)
Chinese,Ecstasea,1502 votes,4.0,"P 241, Lake Road, Ward 90, Borough 8, Southern Avenue, Kolkata",Chinese,₹650,"Closed (Mon),12:30pm – 4pm, 6pm – 10:30pm (Tue-Sun)"
Chinese,Coffichat,153 votes,3.4,"119/A, Muktaram Babu Street, Behind Ram Mandir, Girish Park, Kolkata",Chinese,₹300,9am – 10pm (Mon-Sun)
"South Indian, Rajasthani, North Indian",Rao's Udipi Home,154 votes,4.0,"P545, Lake Road, Southern Avenue, Kolkata","South Indian, Rajasthani, North Indian",₹400,7:30am – 9:30pm (Mon-Sun)
"South Indian, Rajasthani, North Indian",AFC Fries Chicken,5 votes,3.1,"36A, Near Alipore Petrol Pump, Alipore, Kolkata","South Indian, Rajasthani, North Indian",₹300,12noon – 11pm (Mon-Sun)
Bakery,Jagat Guru Mistanna Bhandar,Cuisines:,-,"85, Buroshibtala Main Road, New Alipore, Kolkata",Bakery,₹200,8am – 10pm (Mon-Sun)
Bakery,Satvik Aahar,Cuisines:,-,"1512 A, Near Kedarnath Club Gabeshbari, 30 Loknath Place, Laskarhat Naskathat Madhyapara, Kasba, Kolkata",Bakery,₹300,11am – 11pm (Mon-Sun)
Bengali,The Chicken Xpress,108 votes,3.6,"123/A, Anandapally, Jadavpur, Kolkata",Bengali,₹500,4:30pm – 12midnight (Mon-Sun)
Bengali,Lick It Onnn,5 votes,3.1,"273/A, Ganguly Bagan, Naktala, Kolkata",Bengali,₹250,11am – 10pm (Mon-Sun)
"Mithai, Desserts",Utsav Chaat Internationals,6 votes,3.0,"73, Sanatan Mistry Lane, Salkia, Howrah","Mithai, Desserts",₹150,2pm – 11pm (Mon-Sun)
"Mithai, Desserts",Brother Of China,Cuisines:,-,"12/5A, Chowbaga Road, Picnic Garden, Kolkata","Mithai, Desserts",₹350,12noon – 4am (Mon-Sun)
Continental,China Town,289 votes,3.7,"326, GT Road, Salkia, Howrah",Continental,₹800,"1:30pm – 4pm, 6pm – 10pm (Mon-Sun)"
Continental,Gharoa Fast Food Centre,27 votes,3.3,"74/B/147, 8/106, Jadavpur Central Road, Bejoy Garh, Tollygunge, Kolkata",Continental,₹550,"8am – 1am (Mon, Tue, Wed, Fri, Sat, Sun), 10am –..."
"North Indian, Biryani, Rolls",Jhumki Fast Food Centre,Cuisines:,-,"39/1 A, C N Roy Road, Picnic Garden, Kolkata","North Indian, Biryani, Rolls",₹200,3pm – 7pm (Mon-Sun)
"North Indian, Biryani, Rolls",Walk In  Restaurant,Cuisines:,-,"6/1, Chinta Moni Dey Road, Howrah Maidan Area, Howrah","North Indian, Biryani, Rolls",₹250,11am – 11:30pm (Mon-Sun)
North Indian,NFC Food Funda,Cuisines:,-,"H-71, Paharpur Road, Kidderpore, Kolkata",North Indian,₹400,12noon – 11:30pm (Mon-Sun)
North Indian,Bong Kitchen,Cuisines:,-,"3/3B, Bijoygarh, Jadavpur, Kolkata",North Indian,₹150,"8am – 9pm (Mon, Tue, Wed, Fri, Sat, Sun), Closed..."
"Bengali, Naga",Biryani Plaza,4 votes,3.0,"37/1, Garcha Road, Ballygunge, Kolkata","Bengali, Naga",₹400,"12noon – 11pm (Mon-Sat),Closed (Sun)"
"Bengali, Naga",Agarwal's Vegetarian,Cuisines:,-,"23/26, Jyotish Roy Road, New Alipore, Kolkata","Bengali, Naga",₹250,11am – 9pm (Mon-Sun)
"Chinese, Fast Food",Machaan,Cuisines:,-,"365/E, DKD Railway Quarter, Belgachia, Ultadanga, Kolkata","Chinese, Fast Food",₹500,12noon – 3am (Mon-Sun)
"Chinese, Fast Food",Lukochuri,5 votes,3.0,Delivery Only,"Chinese, Fast Food",₹300,11:55am – 11:55pm (Mon-Sun)
North Indian,Ambrosia Food And Beverage,Cuisines:,-,"12975, 11/12, Burnt Salt Gola Lane, Howrah Station Area, Howrah",North Indian,₹300,11am – 11pm (Mon-Sun)
North Indian,Bharti Dhaba,19 votes,3.3,"11/6, Picnic Garden, Kolkata",North Indian,₹250,4pm – 4am (Mon-Sun)
"North Indian, Rajasthani",3C Crispy Chicken Corner,Cuisines:,NEW,"1/2a, Brick Field Lane, Topsia, Kolkata","North Indian, Rajasthani",₹200,4:30pm – 11pm (Mon-Sun)
"North Indian, Rajasthani",Koko Chino,316 votes,4.0,"C/80, Ramakrishna, Upanivesh, Near Sulekha Crossing, Jadavpur, Kolkata","North Indian, Rajasthani",₹450,12noon – 10:30pm (Mon-Sun)
"Cafe, Chinese, Continental",A-1 Arsalan Biryani,40 votes,3.5,"B/1, Bapuji Nagar, Jadavpur, Kolkata","Cafe, Chinese, Continental",₹200,12noon – 1am (Mon-Sun)
"Cafe, Chinese, Continental",Viraj The food station,29 votes,3.5,"82, Ramkrishnapur Lane, Shibpur, Howrah","Cafe, Chinese, Continental",₹300,11am – 11pm (Mon-Sun)
"Biryani, North Indian",Spice Route,130 votes,2.3,"140/1/1, Kalikarpur Mani Road, Purbachal Crossing, Kalikapur, Kolkata","Biryani, North Indian",₹600,11am – 11pm (Mon-Sun)
"Biryani, North Indian",Royal Zam Zam Biryani,28 votes,2.9,"238, Tiljala Road, Tangra, Kolkata","Biryani, North Indian",₹300,11am – 11pm (Mon-Sun)
"Chinese, North Indian",Indian Chopsticks,121 votes,3.5,"3rd Floor, Aurobindo Mall, Sri Aurabindo Road, Babudanga, Salkia, Howrah","Chinese, North Indian",₹700,11am – 11pm (Mon-Sun)
"Chinese, North Indian",The Green View Club,122 votes,2.7,"84, Rashbihari Avenue, Lake Market Area, Kolkata","Chinese, North Indian",₹800,11am – 11pm (Mon-Sun)
"Fast Food, Chinese, Beverages",Green Chillyz,36 votes,3.2,"Arya Regency, 1, Andul Raj Road, Opposite Basushree Cinema Hall Theatre Road, Hazra, Kolkata","Fast Food, Chinese, Beverages",₹500,11:30am – 11pm (Mon-Sun)
"Fast Food, Chinese, Beverages",The Eye Within Club,335 votes,3.7,"34, Meghnad Saha Sarani, Southern Avenue, Kolkata","Fast Food, Chinese, Beverages",₹800,12noon – 11pm (Mon-Sun)
Chinese,Pam's Cafe,144 votes,2.5,"31, Ramtanu Lahiri, Block D, New Alipore, Kolkata",Chinese,₹350,12noon – 9pm (Mon-Sun)
Chinese,Tolly Cafe,80 votes,3.7,"29/6, Golf Club Road, Beside Bangur High School, Tollygunge, Kolkata",Chinese,₹450,11am – 10pm (Mon-Sun)
"Chinese, North Indian, South Indian",Kafe9,25 votes,3.6,"1700, Rajdanga Main Road, Kasba, Kolkata","Chinese, North Indian, South Indian",₹400,10:30am – 12midnight (Mon-Sun)
"Chinese, North Indian, South Indian",Amantran Restaurant,Cuisines:,-,"Banitabla, Uluberia, Howrah Maidan Area, Howrah","Chinese, North Indian, South Indian",₹150,12noon – 10pm (Mon-Sun)
"North Indian, Chinese",180 Deg Celsius,Cuisines:,-,"10, Kedar Mukherjee Lane, Kadamtala, Howrah Station Area, Howrah","North Indian, Chinese",₹200,10am – 10pm (Mon-Sun)
"North Indian, Chinese",Abbas Biryani House & Snacks,13 votes,3.4,"7/1, C N Roy Road, Near Young Star Club, Picnic Garden, Kolkata","North Indian, Chinese",₹250,11am – 11pm (Mon-Sun)
"Biryani, North Indian",Waterfall Bar & Restaurant,Cuisines:,-,"Hotel Manish, P1, Ground Floor, Howrah Road, Howrah Station Area, Howrah","Biryani, North Indian",₹600,11am – 11pm (Mon-Sun)
"Biryani, North Indian",Jaya Restaurant And Fast Food Center,Cuisines:,-,"5P, MG Road, Howrah Maidan Area, Howrah","Biryani, North Indian",₹400,11am – 11pm (Mon-Sun)
"North Indian, Chinese, Fast Food",Sangam Biryani House,Cuisines:,-,"2, Tiljala Road, Picnic Garden, Kolkata","North Indian, Chinese, Fast Food",₹350,12noon – 11pm (Mon-Sun)
"North Indian, Chinese, Fast Food",Prasad Jalpan,Cuisines:,-,"8/A, Dr G S Bose Road, Nator Park, Kasba, Kolkata","North Indian, Chinese, Fast Food",₹400,"5pm – 11:30pm (Mon-Sat),12noon – 11:30pm (Sun)"
"Chinese, North Indian, Rolls",Streetoz,Cuisines:,,"151 F, Raja Dinendra Street, Shyam Bazar, Kolkata","Chinese, North Indian, Rolls",₹300,
"Chinese, North Indian, Rolls",Tasty Fast Food,Cuisines:,-,"Banitabla, Uluberia, Near Panpur More, Howrah Maidan Area, Howrah","Chinese, North Indian, Rolls",₹200,7am – 11pm (Mon-Sun)
Fast Food,Annapurna Fast Food Center,Cuisines:,-,"150, Dr. GS Bose Road, Picnic Garden, Kolkata",Fast Food,₹300,4pm – 11:30pm (Mon-Sun)
Fast Food,Prakash Hindu Hotel,Cuisines:,-,"1/3, I C Bose Road, Howrah Station Area, Howrah",Fast Food,₹100,7am – 12midnight (Mon-Sun)
Chinese,Lazawab,Cuisines:,-,"C.I.T Scheme VII M, Ultadanga, Kolkata",Chinese,₹400,12noon – 10:30pm (Mon-Sun)
Chinese,Foodie,Cuisines:,-,"497/1, Banerjee Para Road, Near Netaji Metro Station, Tollygunge, Kolkata",Chinese,₹150,"Closed (Mon),8:30am – 12:30pm, 5pm – 10pm (Tue-Sun)"
"Pizza, Fast Food",Haji Food Centre,Cuisines:,,"24, Sahapur Main Road, Alipore, Kolkata","Pizza, Fast Food",₹200,
"Pizza, Fast Food",Ice Land,Cuisines:,-,"32, Avani River Side Mall, Jagat Banerjee Ghat Road, Shibpur, Howrah","Pizza, Fast Food",₹300,11am – 10pm (Mon-Sun)
"Fast Food, Mughlai",Shin Chan,4 votes,3.1,"108/110/1, G.T Road, Shibpur, Howrah","Fast Food, Mughlai",₹200,12noon – 12:30am (Mon-Sun)
"Fast Food, Mughlai",Zaiqa Fast Food Centre,Cuisines:,-,"14, Topsia Road, Tiljala, Ward 66, Picnic Garden, Kolkata","Fast Food, Mughlai",₹300,10am – 10pm (Mon-Sun)
Biryani,Rajballavi Sweet,Cuisines:,-,"GD 154, Sector 3, Salt Lake, Kolkata",Biryani,₹300,7am – 10pm (Mon-Sun)
Biryani,Olive and Thyme,Cuisines:,-,"109/1A, Sarat Ghosh Garden Road, Dhakuria, Kolkata",Biryani,₹450,8am – 3am (Mon-Sun)
"Fast Food, American",Stoner's Paradise,Cuisines:,,"23 A, Chowbaga Road, Tiljala, Picnic Garden, Kolkata","Fast Food, American",₹300,
"Fast Food, American",Super Snacks Bar,Cuisines:,-,"1, Chintamoni Dey Road, Near Howrah Maidan Area, Howrah","Fast Food, American",₹150,1pm – 9pm (Mon-Sun)
"Chinese, Rolls, Fast Food",Rolls Of Tornado,Cuisines:,-,"13/1C, Prince Rahimuddin Lane, Tollygunge, Kolkata","Chinese, Rolls, Fast Food",₹300,10am – 10pm (Mon-Sun)
"Chinese, Rolls, Fast Food",Lemon Chilly Kabab Darbar,Cuisines:,-,"2/1, Chowbaga Road, Picnic Garden, Kolkata","Chinese, Rolls, Fast Food",₹550,11am – 11pm (Mon-Sun)
"North Indian, Chinese",New Bela Biryani,Cuisines:,,"33/C, Topsia Road, Topsia, Kolkata","North Indian, Chinese",₹200,
"North Indian, Chinese",Officer's Kitchen,Cuisines:,-,"25, Bose Pukur Road, Kasba, Kolkata","North Indian, Chinese",₹500,11am – 11pm (Mon-Sun)
"Cafe, Fast Food",Belal Biriyani,Cuisines:,-,"34, Near Gabtala Masjid, Topsia, Kolkata","Cafe, Fast Food",₹150,11am – 12midnight (Mon-Sun)
"Cafe, Fast Food",Jharna Food Centre,Cuisines:,,"RA-288, Nabapally, IB Market, Bidhannagar, Sector 4, Salt Lake, Kolkata","Cafe, Fast Food",₹250,
"Bengali, Biryani",Cakes,Cuisines:,NEW,"37, Dr Abani Dutta Road, Gagananchal Market, Dobson Road, Howrah","Bengali, Biryani",₹250,8am – 9:30pm (Mon-Sun)
"Bengali, Biryani",Swarnadip Restaurant,Cuisines:,NEW,"Ambika kundu Lane, Panchanan Tala Ramraja, Tala Howra, Howrah Station Area, Howrah","Bengali, Biryani",₹200,10am – 11pm (Mon-Sun)
South Indian,Wicked Chef,Cuisines:,NEW,"23/51, Gariahat Road, Near South City College, Golpark, Kolkata",South Indian,₹300,11am – 11pm (Mon-Sun)
South Indian,Picnic Sweets,Cuisines:,NEW,"143/B2, Picnic Garden Road, Picnic Garden, Kolkata",South Indian,₹300,7:30am – 10pm (Mon-Sun)
"North Indian, Chinese, Fast Food",M Cafe,Cuisines:,-,"45/5/H/3, Diamond Harbour Road, Near Mominpore Bus Stand, Behala, Kolkata","North Indian, Chinese, Fast Food",₹200,11am – 11pm (Mon-Sun)
"North Indian, Chinese, Fast Food",Kolkata King Biriyani,Cuisines:,-,"6, Jagat Banerjee Ghat Road Kazi Para Shibpur, Shibpur, Howrah","North Indian, Chinese, Fast Food",₹300,11am – 11pm (Mon-Sun)
"Street Food, Rolls",Paradiso Dine & Puff,Cuisines:,-,"385, Lake Gardens, Kolkata","Street Food, Rolls",₹450,10am – 10pm (Mon-Sun)
"Street Food, Rolls",Aditi Uditi Fast Food Center,Cuisines:,-,"134/B, Masjid Bari Street, Shobha Bazar, Kolkata","Street Food, Rolls",₹400,11am – 10pm (Mon-Sun)
South Indian,Happy Tummy Bowls By Buddha Bites,Cuisines:,-,"200, Jodhpur Garden, Jodhpur Park, Kolkata",South Indian,₹550,11am – 11pm (Mon-Sun)
South Indian,Mughal Sultan Biryani,Cuisines:,-,"23, Zakaria Street, Bara Bazar, Kolkata",South Indian,₹300,11am – 11pm (Mon-Sun)
South Indian,Yaariyaan Food Corner,Cuisines:,NEW,"64, Tripura Roy Ln Babudanga, Golabari, Bandhaghat, Salkia Kolkata",South Indian,₹100,4pm – 10pm (Mon-Sun)
South Indian,Sweet Treats,Cuisines:,NEW,"21/1, Kali Banerjee Lane, Shibpur, Howrah",South Indian,₹200,11am – 11pm (Mon-Sun)
"Street Food, Chinese, North Indian, Fast Food",The Cake Zone,Cuisines:,-,"RA 439, Nabapally, Bidhan Nagar, Sector 4, Salt Lake, Kolkata","Street Food, Chinese, North Indian, Fast Food",₹250,10:30am – 10:30pm (Mon-Sun)
"Street Food, Chinese, North Indian, Fast Food",Anas Biryani,Cuisines:,-,"163, D.H Road, Pathakpara, Behala, Kolkata","Street Food, Chinese, North Indian, Fast Food",₹300,12noon – 10pm (Mon-Sun)
Bengali,Anny's Kitchen,Cuisines:,NEW,"18, Russa Road, South 1st Lane, Tollygunge, Kolkata",Bengali,₹300,12noon – 11pm (Mon-Sun)
Bengali,Fry And Kebab,Cuisines:,-,"4/50, Chanditola Lane, Tollygunge, Kolkata",Bengali,₹200,5pm – 10pm (Mon-Sun)
"Chinese, North Indian, Seafood",Jagadharti Mistanna Bhandar,Cuisines:,-,"132A, Bakul Bagan Road, Bhawanipur, Kolkata","Chinese, North Indian, Seafood",₹150,7am – 10pm (Mon-Sun)
"Chinese, North Indian, Seafood",Biryani Box,Cuisines:,-,"365/E, D K D Railway Quaters, Belghachiya, Ultadanga, Kolkata","Chinese, North Indian, Seafood",₹400,11am – 11pm (Mon-Sun)
"Chinese, North Indian, Bengali",Calcutta Baking Company,Cuisines:,-,"70/20/1, Selimpur Road, Dhakuria, Kolkata","Chinese, North Indian, Bengali",₹200,11am – 11pm (Mon-Sun)
"Chinese, North Indian, Bengali",The Food Front,Cuisines:,-,"1/17A, Ashoknagar, Tollygunge","Chinese, North Indian, Bengali",₹300,"9am – 4pm, 7pm – 11pm (Mon-Sun)"
"Fast Food, North Indian",Dragon Spices,Cuisines:,NEW,"48/1, 148, Regent Colony, NSC Road, Near Milangarh School, Tollygunge, Kolkata","Fast Food, North Indian",₹400,8am – 10:30pm (Mon-Sun)
"Fast Food, North Indian",Pubg Food Corner,24 votes,3.4,"54, Phears Lane, Kolutolla, Tiretti, Dalhousie BBD Bagh, Kolkata","Fast Food, North Indian",₹250,2pm – 11pm (Mon-Sun)
"Chinese, North Indian, Biryani, Rolls, Street Food",The Tea Trove,63 votes,3.9,"2nd Floor, Acropolis Mall, Kasba, Kolkata","Chinese, North Indian, Biryani, Rolls, Street Food",₹400,10:30am – 9:30pm (Mon-Sun)
"Chinese, North Indian, Biryani, Rolls, Street Food",Shahi Darbar Restaurant,28 votes,3.4,"1st, Topsia, Kolkata","Chinese, North Indian, Biryani, Rolls, Street Food",₹400,11:30am – 1am (Mon-Sun)
"Chinese, Fast Food, Coffee",Khandani,17 votes,3.3,"148/10, Near Regent Park, NSC Bose Road, Ranikuthi, Tollygunge, Kolkata","Chinese, Fast Food, Coffee",₹300,"12:20pm – 11:15pm (Mon-Sat),12:20pm – 10:30pm (Sun)"
"Chinese, Fast Food, Coffee",Comida Casera,88 votes,3.7,"236, Santoshpur Avenue, Santoshpur, Kolkata","Chinese, Fast Food, Coffee",₹600,5pm – 5am (Mon-Sun)
"Tibetan, Chinese",Rakshit Sweets,11 votes,3.5,"16/1E, Raja Manindra Road, Paikpara, Kolkata","Tibetan, Chinese",₹100,8am – 10pm (Mon-Sun)
"Tibetan, Chinese",Old Ajooba Biryani Centre,23 votes,3.4,"343, Garfa Main Road, Near Garfa Boy's High School, Santoshpur, Kolkata","Tibetan, Chinese",₹250,12noon – 11pm (Mon-Sun)
Biryani,Bijoli Grill Foods Corner,74 votes,3.5,"42, Sadananda Road, Kalighat, Kolkata",Biryani,₹450,12:30pm – 10:30pm (Mon-Sun)
Biryani,Ganpati Food Plaza,115 votes,2.7,"4, Narasingh Bose Lane Fazir Bazar, Ward 30, Shibpur, Howrah",Biryani,₹350,"11am – 2:30pm, 7pm – 10pm (Mon-Sun)"
"Chinese, Thai, Desserts",Cane-O-Crush (Shree Raj Laxmi),Cuisines:,-,"129/7, Mahatma Gandhi Road, Block C, Machuabazar, Kolkata","Chinese, Thai, Desserts",₹100,9am – 9pm (Mon-Sun)
"Chinese, Thai, Desserts",Chef Kitchen,Cuisines:,-,Delivery Only,"Chinese, Thai, Desserts",₹400,11am – 11pm (Mon-Sun)
South Indian,Shakes And Waffle Co.,47 votes,3.6,"194, Jodhpur Gardens, Lake Gardens, Kolkata",South Indian,₹450,9am – 2:30am (Mon-Sun)
South Indian,Raju South Indian Food,13 votes,3.4,"Gate 2, Jadavpur University Campus Area, Jadavpur, Kolkata",South Indian,₹150,8am – 9:30pm (Mon-Sun)
North Indian,The Food Dude,20 votes,3.4,Delivery Only,North Indian,₹200,12noon – 12midnight (Mon-Sun)
North Indian,Just Cakes,289 votes,4.0,"Baikuntha Chatterjee Lane, Maidan Area, Shibpur, Howrah",North Indian,₹200,7am – 10pm (Mon-Sun)
Bakery,Saima Biriyani,10 votes,3.1,"16/3, Matheswartala Road, Opposite Sitla Mandir, Bypass Crossing, Topsia, Kolkata",Bakery,₹300,10am – 12midnight (Mon-Sun)
Bakery,Sandwich And Shake Co.,73 votes,3.6,"140/22A N.S.C, Bose Road, Tollygunge, Kolkata",Bakery,₹200,7:30am – 1am (Mon-Sun)
"Cafe, Fast Food",Panch Bhog Catering,4 votes,2.9,"3rd Floor, 115, Cotton Street, Bara Bazar, Kolkata","Cafe, Fast Food",₹300,11am – 11pm (Mon-Sun)
"Cafe, Fast Food",Grilled Chillies,16 votes,3.2,"168/1, GKW Gate, Near Gurudwarah, Andul Road, Howrah","Cafe, Fast Food",₹200,"Closed (Mon),1pm – 11pm (Tue-Sun)"
Chinese,Lip Smackerz,144 votes,3.7,"57/1J, Nehru Colony, N.S.C. Bose Road, Tollygunge, Kolkata",Chinese,₹250,1pm – 10pm (Mon-Sun)
Chinese,WFC (Wow Fried Chicken),140 votes,3.5,"34C, Shyampukur Street, Hatibagan, Kolkata",Chinese,₹400,12noon – 10:30pm (Mon-Sun)
"Fast Food, Beverages",Royal Indian Biryani,40 votes,3.3,"6, VIP Nagar Road, Ruby Hospital Area, Kolkata","Fast Food, Beverages",₹200,11:30am – 11:30pm (Mon-Sun)
"Fast Food, Beverages",Onkar Hotel,14 votes,2.7,"Shop 183, M.G Road, Near Bara Bazar Police Station, Bara Bazar, Kolkata","Fast Food, Beverages",₹200,"11am – 4pm, 7pm – 10pm (Mon-Sun)"
"Bengali, North Indian, Biryani, Chinese",Khushi South Indian Food Plaza,19 votes,3.2,"6, Gariahat Road South, Dhakuria, Kolkata","Bengali, North Indian, Biryani, Chinese",₹200,10am – 9:30pm (Mon-Sun)
"Bengali, North Indian, Biryani, Chinese",Parama Roll Corner,85 votes,3.7,"47/3/B, Gariahat Road, Near Gariahat Police Station, Gariahat, Kolkata","Bengali, North Indian, Biryani, Chinese",₹150,10am – 10pm (Mon-Sun)
"North Indian, Chinese, Mughlai",Manmohan Sweets,36 votes,3.4,"86, Deshapran Sashmal Road, Tollygunge Phari, Tollygunge, Kolkata","North Indian, Chinese, Mughlai",₹100,7am – 11pm (Mon-Sun)
"North Indian, Chinese, Mughlai",Ghosh Sweets,30 votes,3.5,"6/9, Bijoygarh, Jadavpur, Kolkata","North Indian, Chinese, Mughlai",₹100,7am – 10pm (Mon-Sun)
Chinese,Hindustan Restaurant,122 votes,3.7,"48/C, C.G.R. Road, Near Guhkailash Gate, Babu Bazar, Kidderpore, Kolkata",Chinese,₹350,7am – 12midnight (Mon-Sun)
Chinese,Cafe Upto You,Cuisines:,-,"113, Panchannagram, 64 Panchannagram, Picnic Garden, Kolkata",Chinese,₹500,2pm – 2am (Mon-Sun)
